연령,직업군,결혼여부,학력,신용카드소지여부,주택대출여부,개인대출여부,contact,통화시간,연락시도횟수,p_days,과거통화횟수,계약여부,연락일자,카드종류
56,주부,결혼,중졸,없음,없음,없음,유선전화,261,1,,0,no,2018-01-03,87
57,서비스종사자,결혼,전문학교,미확인,없음,없음,유선전화,149,1,,0,no,2018-01-03,88
37,서비스종사자,결혼,전문학교,없음,대출있음,없음,유선전화,226,1,,0,no,2018-01-03,89
40,회사원,결혼,검정고시,없음,없음,없음,유선전화,151,1,,0,no,2018-01-03,90
56,서비스종사자,결혼,전문학교,없음,없음,대출있음,유선전화,307,1,,0,no,2018-01-03,91
45,서비스종사자,결혼,고졸,미확인,없음,없음,유선전화,198,1,,0,no,2018-01-03,92
59,회사원,결혼,석박사,없음,없음,없음,유선전화,139,1,,0,no,2018-01-03,93
41,산업노동자,결혼,미확인,미확인,없음,없음,유선전화,217,1,,0,no,2018-01-03,94
24,기술자,미혼,석박사,없음,대출있음,없음,유선전화,380,1,,0,no,2018-01-04,95
25,서비스종사자,미혼,전문학교,없음,대출있음,없음,유선전화,50,1,,0,no,2018-01-04,96
41,산업노동자,결혼,미확인,미확인,없음,없음,유선전화,55,1,,0,no,2018-01-05,97
25,서비스종사자,미혼,전문학교,없음,대출있음,없음,유선전화,222,1,,0,no,2018-01-05,98
29,산업노동자,미혼,전문학교,없음,없음,대출있음,유선전화,137,1,,0,no,2018-01-05,99
57,주부,이혼,중졸,없음,대출있음,없음,유선전화,293,1,,0,no,2018-01-05,100
35,산업노동자,결혼,검정고시,없음,대출있음,없음,유선전화,146,1,,0,no,2018-01-05,101
54,은퇴,결혼,고졸,미확인,대출있음,대출있음,유선전화,174,1,,0,no,2018-01-06,102
35,산업노동자,결혼,검정고시,없음,대출있음,없음,유선전화,312,1,,0,no,2018-01-06,103
46,산업노동자,결혼,검정고시,미확인,대출있음,대출있음,유선전화,440,1,,0,no,2018-01-06,104
50,산업노동자,결혼,고졸,없음,대출있음,대출있음,유선전화,353,1,,0,no,2018-01-06,105
39,공무원,미혼,고졸,미확인,없음,없음,유선전화,195,1,,0,no,2018-01-06,106
30,미취업자,결혼,전문학교,없음,없음,없음,유선전화,38,1,,0,no,2018-01-06,107
55,산업노동자,결혼,중졸,미확인,대출있음,없음,유선전화,262,1,,0,no,2018-01-07,108
55,은퇴,미혼,전문학교,없음,대출있음,없음,유선전화,342,1,,0,no,2018-01-07,109
41,기술자,미혼,전문학교,없음,대출있음,없음,유선전화,181,1,,0,no,2018-01-07,110
37,회사원,결혼,전문학교,없음,대출있음,없음,유선전화,172,1,,0,no,2018-01-07,111
35,기술자,결혼,대졸학사,없음,없음,대출있음,유선전화,99,1,,0,no,2018-01-08,112
59,기술자,결혼,미확인,없음,대출있음,없음,유선전화,93,1,,0,no,2018-01-08,113
39,자영업자,결혼,고졸,미확인,없음,없음,유선전화,233,1,,0,no,2018-01-08,114
54,기술자,미혼,대졸학사,미확인,없음,없음,유선전화,255,2,,0,no,2018-01-08,115
55,미확인,결혼,대졸학사,미확인,미확인,미확인,유선전화,362,1,,0,no,2018-01-08,116
46,회사원,결혼,미확인,없음,없음,없음,유선전화,348,1,,0,no,2018-01-10,117
59,기술자,결혼,미확인,없음,대출있음,없음,유선전화,386,1,,0,no,2018-01-10,118
49,산업노동자,결혼,미확인,없음,없음,없음,유선전화,73,1,,0,no,2018-01-10,119
54,공무원,결혼,중졸,미확인,대출있음,없음,유선전화,230,1,,0,no,2018-01-10,120
54,산업노동자,이혼,중졸,없음,없음,없음,유선전화,208,1,,0,no,2018-01-10,121
55,미확인,결혼,중졸,미확인,대출있음,없음,유선전화,336,1,,0,no,2018-01-10,122
34,서비스종사자,결혼,전문학교,없음,없음,없음,유선전화,365,1,,0,no,2018-01-10,123
52,기술자,결혼,고졸,없음,대출있음,없음,유선전화,1666,1,,0,no,2018-01-11,124
41,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,577,1,,0,no,2018-01-11,125
56,기술자,결혼,중졸,없음,대출있음,없음,유선전화,137,1,,0,no,2018-01-11,126
58,공무원,미확인,대졸학사,없음,대출있음,없음,유선전화,366,1,,0,no,2018-01-12,127
32,기업가,결혼,전문학교,없음,대출있음,없음,유선전화,314,1,,0,no,2018-01-12,128
38,회사원,미혼,석박사,없음,없음,없음,유선전화,160,1,,0,no,2018-01-12,129
57,회사원,결혼,대졸학사,없음,없음,대출있음,유선전화,212,1,,0,no,2018-01-12,130
44,회사원,결혼,대졸학사,미확인,대출있음,없음,유선전화,188,1,,0,no,2018-01-12,131
42,기술자,미혼,석박사,미확인,없음,없음,유선전화,22,1,,0,no,2018-01-12,132
57,회사원,결혼,대졸학사,없음,대출있음,대출있음,유선전화,616,1,,0,no,2018-01-13,133
40,산업노동자,결혼,고졸,없음,없음,대출있음,유선전화,178,1,,0,no,2018-01-13,134
35,회사원,결혼,대졸학사,없음,대출있음,없음,유선전화,355,1,,0,no,2018-01-13,135
45,산업노동자,결혼,고졸,없음,대출있음,없음,유선전화,225,2,,0,no,2018-01-13,136
54,회사원,결혼,전문학교,없음,없음,없음,유선전화,160,1,,0,no,2018-01-14,137
39,주부,결혼,중졸,없음,없음,대출있음,유선전화,266,1,,0,no,2018-01-14,138
60,회사원,결혼,전문학교,없음,없음,없음,유선전화,253,1,,0,no,2018-01-14,139
53,회사원,미혼,석박사,없음,없음,없음,유선전화,179,1,,0,no,2018-01-14,140
