age,group_job,is_married,edu,is_mortgage,is_personal_loan,call_duration,no_call_past,is_contract,card_type
50,주부,결혼,중졸,없음,없음,261,0,no,87
50,서비스종사자,결혼,전문학교,없음,없음,149,0,no,88
30,서비스종사자,결혼,전문학교,대출있음,없음,226,0,no,89
40,회사원,결혼,검정고시,없음,없음,151,0,no,90
50,서비스종사자,결혼,전문학교,없음,대출있음,307,0,no,91
40,서비스종사자,결혼,고졸,없음,없음,198,0,no,92
50,회사원,결혼,석박사,없음,없음,139,0,no,93
40,산업노동자,결혼,미확인,없음,없음,217,0,no,94
20,기술자,미혼,석박사,대출있음,없음,380,0,no,95
20,서비스종사자,미혼,전문학교,대출있음,없음,50,0,no,96
40,산업노동자,결혼,미확인,없음,없음,55,0,no,97
20,서비스종사자,미혼,전문학교,대출있음,없음,222,0,no,98
20,산업노동자,미혼,전문학교,없음,대출있음,137,0,no,99
50,주부,이혼,중졸,대출있음,없음,293,0,no,100
30,산업노동자,결혼,검정고시,대출있음,없음,146,0,no,101
50,은퇴,결혼,고졸,대출있음,대출있음,174,0,no,102
30,산업노동자,결혼,검정고시,대출있음,없음,312,0,no,103
40,산업노동자,결혼,검정고시,대출있음,대출있음,440,0,no,104
50,산업노동자,결혼,고졸,대출있음,대출있음,353,0,no,105
30,공무원,미혼,고졸,없음,없음,195,0,no,106
30,미취업자,결혼,전문학교,없음,없음,38,0,no,107
50,산업노동자,결혼,중졸,대출있음,없음,262,0,no,108
50,은퇴,미혼,전문학교,대출있음,없음,342,0,no,109
40,기술자,미혼,전문학교,대출있음,없음,181,0,no,110
30,회사원,결혼,전문학교,대출있음,없음,172,0,no,111
30,기술자,결혼,대졸학사,없음,대출있음,99,0,no,112
50,기술자,결혼,미확인,대출있음,없음,93,0,no,113
30,자영업자,결혼,고졸,없음,없음,233,0,no,114
50,기술자,미혼,대졸학사,없음,없음,255,0,no,115
50,미확인,결혼,대졸학사,미확인,미확인,362,0,no,116
40,회사원,결혼,미확인,없음,없음,348,0,no,117
50,기술자,결혼,미확인,대출있음,없음,386,0,no,118
40,산업노동자,결혼,미확인,없음,없음,73,0,no,119
50,공무원,결혼,중졸,대출있음,없음,230,0,no,120
50,산업노동자,이혼,중졸,없음,없음,208,0,no,121
50,미확인,결혼,중졸,대출있음,없음,336,0,no,122
30,서비스종사자,결혼,전문학교,없음,없음,365,0,no,123
50,기술자,결혼,고졸,대출있음,없음,1666,0,no,124
40,회사원,결혼,대졸학사,대출있음,없음,577,0,no,125
50,기술자,결혼,중졸,대출있음,없음,137,0,no,126
50,공무원,미확인,대졸학사,대출있음,없음,366,0,no,127
30,기업가,결혼,전문학교,대출있음,없음,314,0,no,128
30,회사원,미혼,석박사,없음,없음,160,0,no,129
50,회사원,결혼,대졸학사,없음,대출있음,212,0,no,130
40,회사원,결혼,대졸학사,대출있음,없음,188,0,no,131
40,기술자,미혼,석박사,없음,없음,22,0,no,132
50,회사원,결혼,대졸학사,대출있음,대출있음,616,0,no,133
40,산업노동자,결혼,고졸,없음,대출있음,178,0,no,134
30,회사원,결혼,대졸학사,대출있음,없음,355,0,no,135
40,산업노동자,결혼,고졸,대출있음,없음,225,0,no,136
50,회사원,결혼,전문학교,없음,없음,160,0,no,137
30,주부,결혼,중졸,없음,대출있음,266,0,no,138
60,회사원,결혼,전문학교,없음,없음,253,0,no,139
50,회사원,미혼,석박사,없음,없음,179,0,no,140
50,산업노동자,결혼,중졸,없음,없음,269,0,no,141
50,기술자,결혼,석박사,대출있음,없음,135,0,no,142
50,공무원,결혼,대졸학사,없음,대출있음,161,0,no,143
40,서비스종사자,결혼,전문학교,대출있음,없음,787,0,no,144
50,미취업자,결혼,석박사,대출있음,대출있음,145,0,no,145
20,기술자,미혼,대졸학사,대출있음,없음,174,0,no,146
40,기업가,결혼,대졸학사,없음,없음,449,0,no,147
50,산업노동자,결혼,고졸,대출있음,없음,812,0,no,148
40,산업노동자,결혼,검정고시,대출있음,없음,164,0,no,149
40,산업노동자,결혼,검정고시,없음,없음,366,0,no,150
40,회사원,결혼,전문학교,없음,없음,357,0,no,151
30,회사원,결혼,대졸학사,없음,없음,232,0,no,152
40,산업노동자,미혼,고졸,대출있음,없음,91,0,no,153
30,회사원,결혼,미확인,대출있음,없음,273,0,no,154
50,회사원,결혼,고졸,대출있음,없음,158,0,no,155
40,산업노동자,미혼,중졸,대출있음,대출있음,177,0,no,156
40,공무원,결혼,검정고시,없음,없음,200,0,no,157
40,공무원,이혼,대졸학사,대출있음,없음,172,0,no,158
40,회사원,결혼,대졸학사,대출있음,없음,176,0,no,159
50,미확인,결혼,미확인,없음,없음,211,0,no,160
30,회사원,결혼,대졸학사,대출있음,없음,214,0,no,161
40,산업노동자,이혼,중졸,대출있음,없음,1575,0,yes,162
50,기술자,결혼,대졸학사,없음,없음,349,0,no,163
30,서비스종사자,결혼,전문학교,대출있음,없음,337,0,no,164
50,공무원,결혼,미확인,대출있음,없음,272,0,no,165
40,산업노동자,결혼,고졸,없음,없음,208,0,no,166
50,산업노동자,결혼,중졸,대출있음,없음,193,0,no,167
50,산업노동자,결혼,중졸,미확인,미확인,212,0,no,168
30,회사원,결혼,전문학교,없음,없음,165,0,no,169
40,기업가,결혼,대졸학사,대출있음,없음,1042,0,yes,170
30,기술자,미혼,대졸학사,없음,대출있음,20,0,no,171
30,회사원,이혼,전문학교,없음,없음,246,0,no,172
40,공무원,결혼,검정고시,없음,없음,529,0,no,173
30,회사원,결혼,대졸학사,대출있음,대출있음,192,0,no,174
40,기술자,결혼,고졸,없음,없음,1467,0,yes,175
30,회사원,결혼,전문학교,대출있음,없음,188,0,no,176
30,회사원,결혼,대졸학사,대출있음,없음,180,0,no,177
50,미확인,결혼,미확인,대출있음,없음,48,0,no,178
60,회사원,결혼,미확인,없음,대출있음,213,0,no,179
30,미취업자,결혼,고졸,없음,없음,545,0,no,180
40,산업노동자,결혼,검정고시,없음,대출있음,583,0,no,181
40,서비스종사자,결혼,석박사,대출있음,없음,221,0,no,182
40,공무원,결혼,대졸학사,없음,없음,426,0,no,183
50,회사원,이혼,대졸학사,없음,없음,287,0,no,184
30,기술자,미혼,석박사,없음,없음,197,0,no,185
40,산업노동자,결혼,검정고시,없음,없음,257,0,no,186
50,서비스종사자,결혼,미확인,대출있음,없음,229,0,no,187
40,산업노동자,결혼,중졸,없음,없음,55,0,no,188
50,서비스종사자,결혼,미확인,없음,없음,400,0,no,189
50,회사원,이혼,대졸학사,없음,없음,197,0,no,190
50,회사원,이혼,대졸학사,없음,없음,190,0,no,191
40,서비스종사자,미혼,전문학교,없음,없음,21,0,no,192
30,주부,결혼,검정고시,대출있음,없음,300,0,no,193
30,회사원,결혼,전문학교,대출있음,없음,123,0,no,194
40,기업가,결혼,미확인,대출있음,없음,293,0,no,195
40,기술자,결혼,미확인,대출있음,대출있음,325,0,no,196
60,은퇴,이혼,대졸학사,없음,없음,514,0,no,197
50,미취업자,결혼,중졸,없음,없음,849,0,no,198
30,서비스종사자,이혼,전문학교,대출있음,없음,194,0,no,199
50,산업노동자,결혼,고졸,대출있음,없음,212,0,no,200
30,공무원,결혼,대졸학사,없음,없음,337,0,no,201
30,산업노동자,결혼,전문학교,없음,없음,286,0,no,202
50,회사원,이혼,대졸학사,없음,없음,247,0,no,203
50,산업노동자,이혼,미확인,대출있음,없음,518,0,no,204
50,회사원,결혼,미확인,대출있음,없음,364,0,no,205
40,산업노동자,이혼,중졸,대출있음,없음,178,0,no,206
40,산업노동자,결혼,전문학교,대출있음,없음,98,0,no,207
40,산업노동자,이혼,전문학교,없음,없음,439,0,no,208
40,서비스종사자,결혼,전문학교,없음,없음,139,0,no,209
40,기술자,결혼,전문학교,대출있음,없음,79,0,no,210
30,회사원,결혼,대졸학사,대출있음,대출있음,175,0,no,211
40,회사원,결혼,대졸학사,없음,대출있음,262,0,no,212
50,회사원,결혼,검정고시,없음,없음,61,0,no,213
30,기술자,이혼,석박사,대출있음,대출있음,78,0,no,214
50,은퇴,결혼,중졸,대출있음,없음,102,0,no,215
40,기술자,결혼,석박사,대출있음,없음,579,0,yes,216
30,산업노동자,결혼,검정고시,대출있음,대출있음,143,0,no,217
40,기술자,결혼,석박사,없음,없음,677,0,no,218
30,산업노동자,결혼,미확인,대출있음,없음,267,0,no,219
30,산업노동자,결혼,검정고시,대출있음,없음,345,0,no,220
50,공무원,결혼,대졸학사,없음,없음,185,0,no,221
30,공무원,이혼,대졸학사,없음,없음,207,0,no,222
30,주부,결혼,중졸,없음,없음,69,0,no,223
50,산업노동자,결혼,중졸,없음,없음,100,0,no,224
30,서비스종사자,결혼,전문학교,대출있음,없음,125,0,no,225
40,산업노동자,결혼,고졸,대출있음,없음,461,0,yes,226
40,미취업자,미혼,대졸학사,대출있음,없음,240,0,no,227
50,공무원,결혼,미확인,대출있음,없음,70,0,no,87
30,공무원,결혼,대졸학사,대출있음,없음,193,0,no,88
50,산업노동자,결혼,중졸,대출있음,없음,136,0,no,89
30,미확인,이혼,전문학교,대출있음,없음,73,0,no,90
40,산업노동자,결혼,중졸,대출있음,없음,528,0,no,91
40,산업노동자,결혼,중졸,없음,없음,541,0,no,92
30,회사원,미혼,전문학교,대출있음,없음,338,0,no,93
40,회사원,결혼,대졸학사,대출있음,없음,163,0,no,94
50,산업노동자,결혼,중졸,대출있음,없음,87,0,no,95
60,산업노동자,결혼,고졸,없음,없음,301,0,no,96
50,기업가,결혼,미확인,대출있음,없음,46,0,no,97
30,서비스종사자,이혼,전문학교,대출있음,없음,52,0,no,98
50,기업가,결혼,미확인,없음,없음,204,0,no,99
40,산업노동자,결혼,미확인,대출있음,대출있음,155,0,no,100
30,산업노동자,결혼,고졸,대출있음,대출있음,98,0,no,101
50,산업노동자,결혼,미확인,대출있음,없음,71,0,no,102
50,산업노동자,결혼,미확인,없음,없음,243,0,no,103
40,기술자,미혼,석박사,대출있음,없음,186,0,no,104
50,서비스종사자,결혼,전문학교,없음,없음,579,0,no,105
20,공무원,미혼,대졸학사,대출있음,없음,165,0,no,106
30,산업노동자,미혼,고졸,대출있음,대출있음,163,0,no,107
40,산업노동자,결혼,고졸,없음,없음,46,0,no,108
40,산업노동자,결혼,고졸,없음,없음,559,0,no,109
30,서비스종사자,이혼,전문학교,없음,없음,2033,0,no,110
30,기업가,결혼,검정고시,없음,없음,85,0,no,111
