age,group_job,is_married,edu,is_holder,is_mortgage,is_personal_loan,contact,call_duration,no_call_trial,p_days,no_call_past,is_contract,call_date,card_type
50,주부,결혼,중졸,없음,없음,없음,유선전화,261,1,,0,no,2018-01-03,87
50,서비스종사자,결혼,전문학교,미확인,없음,없음,유선전화,149,1,,0,no,2018-01-03,88
30,서비스종사자,결혼,전문학교,없음,대출있음,없음,유선전화,226,1,,0,no,2018-01-03,89
40,회사원,결혼,검정고시,없음,없음,없음,유선전화,151,1,,0,no,2018-01-03,90
50,서비스종사자,결혼,전문학교,없음,없음,대출있음,유선전화,307,1,,0,no,2018-01-03,91
40,서비스종사자,결혼,고졸,미확인,없음,없음,유선전화,198,1,,0,no,2018-01-03,92
50,회사원,결혼,석박사,없음,없음,없음,유선전화,139,1,,0,no,2018-01-03,93
40,산업노동자,결혼,미확인,미확인,없음,없음,유선전화,217,1,,0,no,2018-01-03,94
20,기술자,미혼,석박사,없음,대출있음,없음,유선전화,380,1,,0,no,2018-01-04,95
20,서비스종사자,미혼,전문학교,없음,대출있음,없음,유선전화,50,1,,0,no,2018-01-04,96
40,산업노동자,결혼,미확인,미확인,없음,없음,유선전화,55,1,,0,no,2018-01-05,97
20,서비스종사자,미혼,전문학교,없음,대출있음,없음,유선전화,222,1,,0,no,2018-01-05,98
20,산업노동자,미혼,전문학교,없음,없음,대출있음,유선전화,137,1,,0,no,2018-01-05,99
50,주부,이혼,중졸,없음,대출있음,없음,유선전화,293,1,,0,no,2018-01-05,100
30,산업노동자,결혼,검정고시,없음,대출있음,없음,유선전화,146,1,,0,no,2018-01-05,101
50,은퇴,결혼,고졸,미확인,대출있음,대출있음,유선전화,174,1,,0,no,2018-01-06,102
30,산업노동자,결혼,검정고시,없음,대출있음,없음,유선전화,312,1,,0,no,2018-01-06,103
40,산업노동자,결혼,검정고시,미확인,대출있음,대출있음,유선전화,440,1,,0,no,2018-01-06,104
